TransactionID,CustomerID,TransactionDate,Amount,Merchant,Location,Currency,unknown_merchant_flag,unknown_location_flag,RateToUSD,fx_match_status,AmountUSD
99,39,2024-05-01,1615.98,Unknown,MY,MYR,1,0,,Missing Rate,
100,22,2024-05-12,1358.52,Amazon,UK,GBP,0,0,,Missing Rate,
102,22,2024-05-10,585.8,Grab,SG,GBP,0,0,,Missing Rate,
103,6,2024-03-01,283.27,Amazon,MY,SGD,0,0,,Missing Rate,
105,5,2024-03-15,1451.08,Amazon,SG,USD,0,0,,Missing Rate,
109,27,2024-05-29,920.7,Grab,SG,SGD,0,0,,Missing Rate,
112,14,2024-03-24,1640.16,Shopee,XX,SGD,0,1,,Missing Rate,
114,33,2024-03-02,735.55,Grab,US,MYR,0,0,,Missing Rate,
115,25,2024-03-21,729.71,Netflix,UK,SGD,0,0,,Missing Rate,
116,13,2024-03-10,568.66,Netflix,US,USD,0,0,,Missing Rate,
117,24,2024-04-26,1737.28,Unknown,US,SGD,1,0,,Missing Rate,
119,33,2024-03-15,1196.74,Netflix,UK,GBP,0,0,,Missing Rate,
121,11,2024-03-15,43.61,Amazon,US,USD,0,0,,Missing Rate,
123,3,2024-05-24,1296.25,Grab,UK,GBP,0,0,,Missing Rate,
125,10,2024-05-21,1564.76,Shopee,US,USD,0,0,,Missing Rate,
127,22,2024-04-24,265.12,Shopee,UK,SGD,0,0,,Missing Rate,
129,17,2024-04-21,1854.04,Grab,US,MYR,0,0,,Missing Rate,
130,29,2024-04-23,661.86,Netflix,UK,GBP,0,0,,Missing Rate,
131,29,2024-04-16,1101.7,Unknown,XX,SGD,1,1,,Missing Rate,
132,20,2024-05-14,1244.47,Amazon,MY,MYR,0,0,,Missing Rate,
133,12,2024-05-06,1398.1,Shopee,US,MYR,0,0,,Missing Rate,
140,25,2024-04-05,783.64,Lazada,XX,GBP,0,1,,Missing Rate,
141,14,2024-04-16,1839.05,Lazada,SG,GBP,0,0,,Missing Rate,
142,37,2024-03-31,1667.37,Lazada,SG,MYR,0,0,,Missing Rate,
148,38,2024-05-22,1582.07,Netflix,UK,USD,0,0,,Missing Rate,
149,19,2024-03-16,1344.64,Grab,UK,MYR,0,0,,Missing Rate,
