TransactionID,CustomerID,TransactionDate,Amount,Currency,RateToUSD,AmountUSD,Merchant,Location,unknown_merchant_flag,unknown_location_flag,fx_match_status,expected_currency,geo_mismatch_flag,merchant_frequency,merchant_risk_flag,same_day_customer_count,velocity_flag,merchant_mean,merchant_std,merchant_count,high_value_flag,red_flag_count,has_red_flag,audit_risk_score,audit_priority,audit_reason,audit_action,IsFraud,geo_review_flag,optimized_rule_flag,fx_missing_flag,customer_frequency,log_amount,isolation_forest_flag,hybrid_flag,final_detection_flag,final_audit_priority,priority_sort,transaction_month,transaction_dayofweek,supervised_ml_score,supervised_ml_flag,confirmed_currency_mismatch_flag,location_frequency,currency_frequency,kmeans_cluster,kmeans_anomaly_score,kmeans_anomaly_flag
11,4,2024-03-12,1050.65,SGD,,,Netflix,SG,0,0,Missing Rate,SGD,0,27,0,1,0,959.2155672727273,677.1496950068495,11,0,0,0,0,High,No red flag,Resolve missing exchange-rate support,0,0,0,1,2,6.958115638321086,0,0,0,Low,2,3,1,0.016503158584031986,0,0,22,33,1,3.248207018275941,1
12,9,2024-03-17,1249.85,SGD,,,Shopee,MY,0,0,Missing Rate,MYR,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,4,7.131578599201104,0,1,1,High,3,3,6,0.5079236296810672,1,1,30,33,1,1.367170427467244,0
13,16,2024-05-21,252.66,MYR,,,Unknown,UK,1,0,Missing Rate,GBP,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation; Resolve missing exchange-rate support,0,1,1,1,2,5.535994787639283,0,1,1,Critical,3,5,1,0.0038528713556912125,0,1,35,49,3,2.5344135233490963,0
14,24,2024-01-24,719.57,MYR,0.689,495.78373,Unknown,MY,1,0,Matched,MYR,0,30,1,1,0,705.130355625,542.1433258584099,16,0,1,1,2,Medium,Unknown merchant,Verify merchant identity and supporting documentation,0,0,0,0,2,6.5800425654740025,0,0,0,Medium,3,1,2,0.22746055641713184,0,0,30,49,3,2.8325323939836387,0
15,8,2024-04-04,432.09,USD,,,Unknown,UK,1,0,Missing Rate,GBP,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation; Resolve missing exchange-rate support,0,1,1,1,4,6.07094555859821,0,1,1,Critical,3,4,3,0.45064761593924463,1,1,35,31,3,1.6283096293856005,0
16,14,2024-02-04,233.37,SGD,0.445,103.84965,Grab,XX,0,1,Matched,,1,27,0,1,0,1326.722148181818,998.6223743343049,11,0,1,1,1,Medium,Transaction location unavailable,Obtain location evidence,0,1,0,0,4,5.456901063163783,0,0,0,Medium,3,2,6,0.3022464858126424,1,0,32,33,1,2.8518236622719915,0
17,19,2024-05-10,1799.27,MYR,,,Netflix,US,0,0,Missing Rate,USD,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,1,1,1,1,6,7.495691932635381,0,1,1,High,3,5,4,0.009462725476267881,0,1,30,49,1,1.868126019694704,0
18,13,2024-02-11,834.24,GBP,1.295,1080.3408,Grab,US,0,0,Matched,USD,1,27,0,1,0,1326.722148181818,998.6223743343049,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale,0,1,1,0,8,6.727719108701861,0,1,1,High,3,2,6,0.49975534056558507,1,1,30,36,1,1.701980371770335,0
19,27,2024-01-06,678.97,SGD,0.23,156.16310000000001,Unknown,SG,1,0,Matched,SGD,0,30,1,1,0,705.130355625,542.1433258584099,16,0,1,1,2,Critical,Unknown merchant,Verify merchant identity and supporting documentation,0,0,0,0,6,6.522048679549882,0,0,0,Medium,1,1,5,0.9177659741462109,1,0,22,33,3,3.2244398090322037,1
20,2,2024-02-22,1883.39,USD,0.71,1337.2069,Shopee,MY,0,0,Matched,MYR,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale,0,1,1,0,5,7.541359440082873,0,1,1,High,3,2,3,0.4120501124055546,1,1,30,31,1,1.6358347711255006,0
21,37,2024-02-16,119.89,MYR,1.44,172.64159999999998,Unknown,UK,1,0,Matched,GBP,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation,0,1,1,0,5,4.794881041213901,0,1,1,Critical,3,2,4,0.1243753483370191,0,1,35,49,3,2.797286126153746,0
22,31,2024-04-10,1076.63,MYR,,,Grab,SG,0,0,Missing Rate,SGD,1,27,0,1,0,1326.722148181818,998.6223743343049,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,4,6.982519464352292,0,1,1,High,3,4,2,0.32534083079283455,1,1,22,49,1,2.6774097236006464,0
23,35,2024-04-16,237.79,USD,,,Lazada,XX,0,1,Missing Rate,,1,16,0,1,0,672.95575,451.62295388774896,6,0,1,1,1,Critical,Transaction location unavailable,Obtain location evidence; Resolve missing exchange-rate support,0,1,0,1,2,5.475584504594719,0,0,0,Medium,1,4,1,0.016830543020666493,0,0,32,31,1,3.7721290295683554,1
24,29,2024-05-05,1468.5,MYR,,,Amazon,XX,0,1,Missing Rate,,1,22,0,1,0,1107.247377,674.4958542632879,10,0,1,1,1,Critical,Transaction location unavailable,Obtain location evidence; Resolve missing exchange-rate support,0,1,0,1,9,7.292677485858972,0,0,0,Medium,1,5,6,0.02310072613446667,0,0,32,49,1,3.1442285878592595,1
25,17,2024-03-15,899.58,SGD,,,Unknown,SG,1,0,Missing Rate,SGD,0,30,1,1,0,705.130355625,542.1433258584099,16,0,1,1,2,Critical,Unknown merchant,Verify merchant identity and supporting documentation; Resolve missing exchange-rate support,0,0,0,1,5,6.803039000203605,0,0,0,Medium,1,3,4,0.8060193518873776,1,0,22,33,3,3.1853785831133172,1
26,12,2024-03-08,984.49,SGD,,,Lazada,XX,0,1,Missing Rate,,1,16,0,1,0,672.95575,451.62295388774896,6,0,1,1,1,Medium,Transaction location unavailable,Obtain location evidence; Resolve missing exchange-rate support,0,1,0,1,4,6.8931389794078575,0,0,0,Medium,3,3,4,0.03229688457388079,0,0,32,33,1,3.0825707479571958,0
27,38,2024-03-15,561.2,GBP,,,Unknown,UK,1,0,Missing Rate,GBP,0,30,1,1,0,705.130355625,542.1433258584099,16,0,1,1,2,Medium,Unknown merchant,Verify merchant identity and supporting documentation; Resolve missing exchange-rate support,0,0,0,1,3,6.3318576584724315,0,0,0,Medium,3,3,4,2.8698958851134233e-05,0,0,35,36,3,2.426616402372805,0
28,30,2024-03-12,1962.72,GBP,,,Netflix,US,0,0,Missing Rate,USD,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,5,7.58259591255944,0,1,1,High,3,3,1,0.730061815856057,1,1,30,36,1,1.3384312831641043,0
29,25,2024-04-21,1550.28,GBP,,,Grab,US,0,0,Missing Rate,USD,1,27,0,1,0,1326.722148181818,998.6223743343049,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,6,7.346835675574362,0,1,1,High,3,4,6,0.4885781605298563,1,1,30,36,1,1.2656187846053568,0
30,22,2024-03-12,1984.02,SGD,,,Unknown,UK,1,0,Missing Rate,GBP,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation; Resolve missing exchange-rate support,0,1,1,1,7,7.593384268637283,0,1,1,Critical,3,3,1,0.3920559651219922,1,1,35,33,3,2.1003846021460366,0
31,18,2024-01-18,803.65,USD,0.774,622.0251,Lazada,UK,0,0,Matched,GBP,1,16,0,1,0,672.95575,451.62295388774896,6,0,1,1,3,Critical,Currency does not match transaction location,Verify transaction location and currency rationale,0,1,1,0,1,6.690407400264504,0,1,1,High,1,1,3,0.5009640356081804,1,1,35,31,1,3.291496611799827,1
32,14,2024-04-27,1211.18,GBP,,,Shopee,MY,0,0,Missing Rate,MYR,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,4,7.100175670453506,0,1,1,High,3,4,5,0.10773540682987189,0,1,30,36,1,1.1736655081512954,0
33,2,2024-03-26,99999.0,MYR,,,Shopee,US,0,0,Missing Rate,USD,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,3,Critical,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,5,11.512925464970229,0,1,1,High,1,3,1,1.0451161851109523e-30,0,1,30,49,1,5.659696236537984,1
34,33,2024-03-16,1015.94,USD,,,Lazada,SG,0,0,Missing Rate,SGD,1,16,0,1,0,672.95575,451.62295388774896,6,0,1,1,3,Critical,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,1,1,1,1,5,6.924553397258018,0,1,1,High,1,3,5,0.0008538910126370731,0,1,22,31,1,3.2115815299460193,1
35,32,2024-05-21,217.95,SGD,,,Netflix,UK,0,0,Missing Rate,GBP,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,4,5.388843393247408,0,1,1,High,3,5,1,0.4262731476273404,1,1,35,33,1,2.487716509930752,0
36,29,2024-01-24,1168.91,SGD,0.309,361.19319,Unknown,UK,1,0,Matched,GBP,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation,0,1,1,0,9,7.064682101756147,0,1,1,Critical,3,1,2,0.5650939591305902,1,1,35,33,3,2.4410932086908033,0
37,34,2024-02-23,1875.37,GBP,1.219,2286.07603,Grab,UK,0,0,Matched,GBP,0,27,0,1,0,1326.722148181818,998.6223743343049,11,0,0,0,0,Low,No red flag,No immediate action,0,0,0,0,1,7.537094338264246,0,0,0,Low,4,2,4,0.02849248128152224,0,0,35,36,1,3.056943659033577,0
38,19,2024-05-15,1780.02,GBP,,,Shopee,MY,0,0,Missing Rate,MYR,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,6,7.484941512872876,0,1,1,High,3,5,2,0.6035495234921783,1,1,30,36,1,1.3443263322139678,0
39,7,2024-02-04,750.93,MYR,0.561,421.27173,Lazada,XX,0,1,Matched,,1,16,0,1,0,672.95575,451.62295388774896,6,0,1,1,1,Critical,Transaction location unavailable,Obtain location evidence,0,1,0,0,9,6.622643234510769,0,0,0,Medium,1,2,6,0.1964548972543203,0,0,32,49,1,3.70546757127606,1
40,33,2024-05-08,1972.43,GBP,,,Netflix,US,0,0,Missing Rate,USD,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,5,7.58752842449663,0,1,1,High,3,5,2,0.8739158119387734,1,1,30,36,1,1.3420129366812246,0
41,13,2024-03-12,491.97,MYR,,,Shopee,MY,0,0,Missing Rate,MYR,0,27,0,1,0,732.755110909091,621.646604940986,11,0,0,0,0,Low,No red flag,Resolve missing exchange-rate support,0,0,0,1,8,6.200448320264159,0,0,0,Low,4,3,1,0.4298558908411631,1,0,30,49,1,2.8484858182382435,0
42,33,2024-01-23,1778.96,GBP,1.179,2097.39384,Shopee,MY,0,0,Matched,MYR,1,27,0,1,0,732.755110909091,621.646604940986,11,1,2,1,6,Medium,Unusually high value for merchant; Currency does not match transaction location,Inspect transaction support and approval; Verify transaction location and currency rationale,0,1,1,0,5,7.484346171123521,0,1,1,Critical,3,1,1,0.02676468334718443,0,1,30,36,2,1.5698035482769954,0
43,10,2024-02-20,1227.85,MYR,0.374,459.2159,Amazon,SG,0,0,Matched,SGD,1,22,0,1,0,1107.247377,674.4958542632879,10,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale,0,1,1,0,2,7.1138340516697545,0,1,1,High,3,2,1,0.07711907230477295,0,1,22,49,1,2.9833152259341347,0
44,27,2024-03-18,1805.29,MYR,,,Grab,US,0,0,Missing Rate,USD,1,27,0,1,0,1326.722148181818,998.6223743343049,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,6,7.499030296944258,0,1,1,High,3,3,0,0.1103457584046487,0,1,30,49,1,1.8696519010468367,0
45,23,2024-03-08,634.39,USD,,,Unknown,UK,1,0,Missing Rate,GBP,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation; Resolve missing exchange-rate support,0,1,1,1,2,6.454238983593849,0,1,1,Critical,3,3,4,0.0037468206680672383,0,1,35,31,3,1.916297220289356,0
46,27,2024-05-20,1049.85,USD,,,Unknown,MY,1,0,Missing Rate,MYR,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation; Resolve missing exchange-rate support,0,1,1,1,6,6.957354639473421,0,1,1,Critical,3,5,0,0.872085098871019,1,1,30,31,3,1.4259624610621144,0
47,29,2024-02-26,1581.32,USD,0.84,1328.3087999999998,Amazon,UK,0,0,Matched,GBP,1,22,0,2,1,1107.247377,674.4958542632879,10,0,2,1,5,Medium,Currency does not match transaction location; Multiple transactions for same customer on same day,Verify transaction location and currency rationale; Review transaction sequence and authorization,0,1,1,0,9,7.366647403473154,1,1,1,Critical,3,2,0,0.3598947255440752,1,1,35,31,0,1.0184968302660138,0
48,17,2024-03-25,1620.17,GBP,,,Shopee,SG,0,0,Missing Rate,SGD,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,5,7.390903389771687,0,1,1,High,3,3,0,0.3211923991909186,1,1,22,36,1,2.3772659961890548,0
49,39,2024-02-19,612.56,USD,1.34,820.8303999999999,Unknown,XX,1,1,Matched,,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,3,Medium,Unknown merchant; Transaction location unavailable,Verify merchant identity and supporting documentation; Obtain location evidence,0,1,0,0,3,6.419278058879908,0,0,0,Medium,3,2,0,0.848355031914735,1,0,32,31,3,2.243094749281413,0
50,7,2024-04-20,981.94,USD,,,Shopee,US,0,0,Missing Rate,USD,0,27,0,1,0,732.755110909091,621.646604940986,11,0,0,0,0,Low,No red flag,Resolve missing exchange-rate support,0,0,0,1,9,6.890548080644416,0,0,0,Low,4,4,5,0.7172907541411169,1,0,30,31,1,2.862913755579506,0
51,37,2024-02-21,915.7,USD,0.377,345.2189,Shopee,XX,0,1,Matched,,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,1,Medium,Transaction location unavailable,Obtain location evidence,1,1,0,0,5,6.82078026496773,0,0,0,Medium,3,2,2,0.0014946527257695941,0,0,32,31,1,2.3921129855981214,0
52,9,2024-05-28,1228.57,USD,,,Shopee,UK,0,0,Missing Rate,GBP,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,4,7.1144197937484766,0,1,1,High,3,5,1,0.17671982442797313,0,1,35,31,1,1.9486247917423767,0
53,19,2024-03-23,1493.1,MYR,,,Unknown,UK,1,0,Missing Rate,GBP,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation; Resolve missing exchange-rate support,0,1,1,1,6,7.309279297857039,0,1,1,Critical,3,3,5,0.6149915929945559,1,1,35,49,3,2.183863185850375,0
54,37,2024-03-13,1017.62,MYR,,,Shopee,US,0,0,Missing Rate,USD,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,5,6.926204049050597,0,1,1,High,3,3,2,0.3253201118404297,1,1,30,49,1,1.663471202889259,0
55,12,2024-01-29,890.99,MYR,0.491,437.47609,Grab,MY,0,0,Matched,MYR,0,27,0,1,0,1326.722148181818,998.6223743343049,11,0,0,0,0,Low,No red flag,No immediate action,0,0,0,0,4,6.793454921754837,0,0,0,Low,4,1,0,0.19970939923726075,0,0,30,49,1,2.439579670121402,0
56,7,2024-01-14,1952.14,SGD,0.319,622.73266,Lazada,UK,0,0,Matched,GBP,1,16,0,1,0,672.95575,451.62295388774896,6,0,1,1,3,Critical,Currency does not match transaction location,Verify transaction location and currency rationale,0,1,1,0,9,7.577193612895275,0,1,1,High,1,1,6,0.5509732779437496,1,1,35,33,1,3.305633995484971,1
57,13,2024-02-24,1643.52,USD,1.321,2171.08992,Netflix,MY,0,0,Matched,MYR,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale,0,1,1,0,8,7.40520382730645,0,1,1,High,3,2,5,0.8021464080685674,1,1,30,31,1,2.0553550890294185,0
58,29,2024-05-30,1266.88,GBP,,,Amazon,MY,0,0,Missing Rate,MYR,1,22,0,1,0,1107.247377,674.4958542632879,10,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,9,7.145101493294812,0,1,1,High,3,5,3,0.2736162920006558,1,1,30,36,1,2.1028475158484103,0
59,7,2024-04-18,63.74,USD,,,Unknown,XX,1,1,Missing Rate,,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,3,Critical,Unknown merchant; Transaction location unavailable,Verify merchant identity and supporting documentation; Obtain location evidence; Resolve missing exchange-rate support,0,1,0,1,9,4.170379248498098,1,1,0,Medium,1,4,3,0.872761177544196,1,0,32,31,3,3.9875255311921327,1
60,19,2024-01-25,214.7,MYR,0.751,161.2397,Shopee,XX,0,1,Matched,,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,1,Medium,Transaction location unavailable,Obtain location evidence,0,1,0,0,6,5.373888553395111,0,0,0,Medium,3,1,3,0.46261862692181394,1,0,32,49,1,3.104846282829107,0
61,37,2024-03-08,1951.7,MYR,,,Shopee,UK,0,0,Missing Rate,GBP,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,5,7.5769683092464515,0,1,1,High,3,3,4,0.11505891181620256,0,1,35,49,1,2.2120568487657213,0
62,35,2024-01-13,1943.36,MYR,0.616,1197.1097599999998,Netflix,XX,0,1,Matched,,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,1,Medium,Transaction location unavailable,Obtain location evidence,0,1,0,0,2,7.57268815306091,0,0,0,Medium,3,1,5,0.04299530018463761,0,0,32,49,1,2.984912792511369,0
63,27,2024-04-18,214.29,MYR,,,Amazon,UK,0,0,Missing Rate,GBP,1,22,0,1,0,1107.247377,674.4958542632879,10,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,6,5.371985956473237,0,1,1,High,3,4,3,0.022713409097384743,0,1,35,49,1,2.7379800134552914,0
64,32,2024-02-24,1259.81,GBP,1.434,1806.5675399999998,Grab,SG,0,0,Matched,SGD,1,27,0,1,0,1326.722148181818,998.6223743343049,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale,0,1,1,0,4,7.139509650544242,0,1,1,High,3,2,5,0.8176815269079653,1,1,22,36,1,2.363552590718486,0
65,9,2024-03-13,1493.81,GBP,,,Lazada,UK,0,0,Missing Rate,GBP,0,16,0,1,0,672.95575,451.62295388774896,6,0,0,0,0,High,No red flag,Resolve missing exchange-rate support,0,0,0,1,4,7.309754387447127,0,0,0,Low,2,3,2,0.010805034669773353,0,0,35,36,1,3.171846450109813,1
66,3,2024-04-10,1605.87,MYR,,,Lazada,MY,0,0,Missing Rate,MYR,0,16,0,1,0,672.95575,451.62295388774896,6,0,0,0,0,High,No red flag,Resolve missing exchange-rate support,0,0,0,1,5,7.382043466385596,0,0,0,Low,2,4,2,0.0026177449339254,0,0,30,49,1,3.1882008144928964,1
67,8,2024-01-11,160.91,MYR,1.316,211.75756,Shopee,MY,0,0,Matched,MYR,0,27,0,1,0,732.755110909091,621.646604940986,11,0,0,0,0,High,No red flag,No immediate action,0,0,0,0,4,5.087040625298661,0,0,0,Low,2,1,3,0.004804251617682919,0,0,30,49,1,3.200668153887069,1
68,7,2024-05-01,163.51,SGD,,,Netflix,UK,0,0,Missing Rate,GBP,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,3,Critical,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,1,1,1,1,9,5.102971358631329,0,1,1,High,1,5,2,0.2892878035780485,1,1,35,33,1,3.224918272579842,1
69,1,2024-04-13,1103.5,GBP,,,Amazon,XX,0,1,Missing Rate,,1,22,0,1,0,1107.247377,674.4958542632879,10,0,1,1,1,Medium,Transaction location unavailable,Obtain location evidence; Resolve missing exchange-rate support,0,1,0,1,2,7.0071480228601715,0,0,0,Medium,3,4,5,0.04221796299855459,0,0,32,36,1,2.5800947455490406,0
70,22,2024-04-15,151.8,USD,,,Grab,MY,0,0,Missing Rate,MYR,1,27,0,1,0,1326.722148181818,998.6223743343049,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,7,5.02912987673242,0,1,1,High,3,4,0,0.44836022276683046,1,1,30,31,1,2.72537827165048,0
71,28,2024-04-13,1513.65,USD,,,Netflix,MY,0,0,Missing Rate,MYR,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,3,7.322939668151212,0,1,1,High,3,4,5,0.9189281737899654,1,1,30,31,1,1.7754441676206483,0
72,38,2024-02-03,772.7,USD,0.792,611.9784000000001,Netflix,UK,0,0,Matched,GBP,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale,0,1,1,0,3,6.651184201555409,0,1,1,High,3,2,5,0.5287741653512029,1,1,35,31,1,2.093471204383671,0
