TransactionID,CustomerID,TransactionDate,Amount,Merchant,Location,Currency
71,28,2024-04-13 00:00:00,1513.65,Netflix,MY,USD
72,38,2024-02-03 00:00:00,772.7,Netflix,UK,USD
73,13,2024-05-29 00:00:00,1868.8,Lazada,XX,MYR
74,4,2024-01-12 00:00:00,726.89,Unknown,MY,USD
75,7,2024-02-11 00:00:00,1099.34,Shopee,MY,MYR
76,7,2024-01-19 00:00:00,862.38,Grab,SG,SGD
77,29,2024-04-20 00:00:00,818.09,Unknown,XX,SGD
78,30,2024-02-24 00:00:00,1813.58,Amazon,XX,MYR
79,22,2024-04-02 00:00:00,693.04,Grab,UK,SGD
80,30,2024-03-03 00:00:00,1254.47,Netflix,SG,GBP
81,30,2024-03-11 00:00:00,950.54,Grab,XX,MYR
82,19,2024-05-14 00:00:00,818.29,Grab,UK,SGD
83,31,2024-03-06 00:00:00,826.59,Grab,XX,MYR
84,27,2024-04-22 00:00:00,704.03,Netflix,MY,MYR
85,8,2024-02-19 00:00:00,707.04,Unknown,MY,SGD
86,32,2024-04-11 00:00:00,1889.82,Lazada,US,GBP
87,22,2024-01-02 00:00:00,1034.36,Lazada,US,USD
88,5,2024-05-30 00:00:00,939.13,Shopee,MY,MYR
89,31,2024-05-14 00:00:00,1645.52,Amazon,SG,MYR
90,39,2024-01-11 00:00:00,1976.77,Grab,US,MYR
91,3,2024-05-18 00:00:00,1559.22,Grab,MY,MYR
92,2,2024-02-16 00:00:00,1930.62,Netflix,UK,SGD
93,11,2024-01-24 00:00:00,379.09,Netflix,US,MYR
94,17,2024-05-15 00:00:00,953.05,Netflix,UK,SGD
95,25,2024-04-24 00:00:00,942.53,Netflix,MY,GBP
96,21,2024-04-24 00:00:00,1208.54,Amazon,US,MYR
97,5,2024-01-10 00:00:00,1304.64,Unknown,XX,GBP
98,25,2024-02-22 00:00:00,892.73,Netflix,XX,GBP
99,39,2024-05-01 00:00:00,1615.98,Unknown,MY,MYR
100,22,2024-05-12 00:00:00,1358.52,Amazon,UK,GBP
101,31,2024-01-16 00:00:00,73.32,Grab,MY,USD
102,22,2024-05-10 00:00:00,585.8,Grab,SG,GBP
103,6,2024-03-01 00:00:00,283.27,Amazon,MY,SGD
104,28,2024-02-29 00:00:00,1506.44,Netflix,SG,SGD
105,5,2024-03-15 00:00:00,1451.08,Amazon,SG,USD
106,16,2024-02-05 00:00:00,1062.03,Amazon,US,GBP
107,23,2024-02-15 00:00:00,1023.96,Amazon,XX,MYR
108,26,2024-01-10 00:00:00,1768.84,Amazon,MY,GBP
109,27,2024-05-29 00:00:00,920.7,Grab,SG,SGD
110,15,2024-01-11 00:00:00,416.41,Unknown,US,GBP
111,17,2024-01-19 00:00:00,512.17,Shopee,UK,USD
112,14,2024-03-24 00:00:00,1640.16,Shopee,XX,SGD
113,13,2024-02-22 00:00:00,1533.25,Grab,MY,GBP
114,33,2024-03-02 00:00:00,735.55,Grab,US,MYR
115,25,2024-03-21 00:00:00,729.71,Netflix,UK,SGD
116,13,2024-03-10 00:00:00,568.66,Netflix,US,USD
117,24,2024-04-26 00:00:00,1737.28,Unknown,US,SGD
118,13,2024-02-21 00:00:00,457.95,Lazada,SG,GBP
119,33,2024-03-15 00:00:00,1196.74,Netflix,UK,GBP
120,2,2024-02-19 00:00:00,1340.55,Unknown,SG,MYR
121,11,2024-03-15 00:00:00,43.61,Amazon,US,USD
122,40,2024-01-23 00:00:00,239.42,Shopee,XX,USD
123,3,2024-05-24 00:00:00,1296.25,Grab,UK,GBP
124,30,2024-01-03 00:00:00,202.36,Unknown,XX,SGD
125,10,2024-05-21 00:00:00,1564.76,Shopee,US,USD
126,21,2024-01-28 00:00:00,1475.01,Grab,XX,MYR
127,22,2024-04-24 00:00:00,265.12,Shopee,UK,SGD
128,2,2024-02-14 00:00:00,1014.05,Lazada,US,GBP
129,17,2024-04-21 00:00:00,1854.04,Grab,US,MYR
130,29,2024-04-23 00:00:00,661.86,Netflix,UK,GBP
131,29,2024-04-16 00:00:00,1101.7,Unknown,XX,SGD
132,20,2024-05-14 00:00:00,1244.47,Amazon,MY,MYR
133,12,2024-05-06 00:00:00,1398.1,Shopee,US,MYR
134,21,2024-02-04 00:00:00,1541.49,Amazon,XX,USD
135,8,2024-01-18 00:00:00,570.47,Amazon,US,USD
136,13,2024-02-20 00:00:00,1034.17,Shopee,XX,USD
137,36,2024-01-22 00:00:00,238.43,Unknown,US,SGD
138,12,2024-02-15 00:00:00,1974.4,Grab,MY,MYR
139,40,2024-02-05 00:00:00,801.62,Netflix,SG,SGD
140,25,2024-04-05 00:00:00,783.64,Lazada,XX,GBP
141,14,2024-04-16 00:00:00,1839.05,Lazada,SG,GBP
142,37,2024-03-31 00:00:00,1667.37,Lazada,SG,MYR
143,40,2024-01-24 00:00:00,1739.63,Netflix,XX,GBP
144,29,2024-02-26 00:00:00,790.5,Netflix,US,GBP
145,15,2024-01-16 00:00:00,845.86,Unknown,XX,MYR
146,1,2024-02-15 00:00:00,1133.66,Shopee,MY,GBP
147,28,2024-02-25 00:00:00,1650.16,Amazon,UK,MYR
148,38,2024-05-22 00:00:00,1582.07,Netflix,UK,USD
149,19,2024-03-16 00:00:00,1344.64,Grab,UK,MYR
